policy_name,asset_id,symbol,entry_ts_utc,exit_ts_utc,selection_state,selection_bias,selection_score,priority_rank,entry_price,exit_price,gross_trade_return,fee_fraction,trade_return,equity_curve,drawdown
rejected_htf_1h,9,NEAR,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,22,1.0241,1.0203,-0.0037105751391465925,0.002,-0.0057105751391465925,0.8109224379948383,-0.2056090068729256
rejected_htf_1h,10,PEPE,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,23,2.9369e-06,2.9211e-06,-0.0053798222615684356,0.002,-0.007379822261568436,0.8049379745345187,-0.21147147120839427
rejected_htf_1h,11,POL,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,24,0.078398,0.078126,-0.0034694762621494744,0.002,-0.005469476262149475,0.8005353853902994,-0.21578430927864756
rejected_htf_1h,12,QNT,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,25,60.496,60.59,0.0015538217402803688,0.002,-0.0004461782597196312,0.800178203905202,-0.21613420927077853
rejected_htf_1h,13,SUI,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,26,0.75848,0.75563,-0.0037575150300601452,0.002,-0.005757515030060145,0.7955711658694913,-0.22064732834245193
rejected_htf_1h,17,AAVE,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,27,85.18,84.37,-0.009509274477576922,0.002,-0.011509274477576922,0.7864147189550534,-0.2296171121553915
rejected_htf_1h,18,CC,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,28,0.13228,0.1319,-0.0028726942848504625,0.002,-0.004872694284850463,0.7825827604484789,-0.2333709524501386
rejected_htf_1h,21,HYPE,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,29,31.476,31.388,-0.002795780912441143,0.002,-0.004795780912441143,0.7788296649835146,-0.2370475374033011
rejected_htf_1h,27,XRP,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,30,1.15947,1.15468,-0.0041311978748911765,0.002,-0.0061311978748911766,0.7740545061966655,-0.2417253499206169
rejected_htf_1h,29,DOT,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,31,1.0944,1.0841,-0.009411549707602317,0.002,-0.011411549707602317,0.7652213447228087,-0.2503784387820126
rejected_htf_1h,31,HNT,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,32,0.93124,0.92959,-0.0017718311069111394,0.002,-0.0037718311069111395,0.7623350590511108,-0.2532058847050259
rejected_htf_1h,33,INJ,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,33,2.4921,2.4753,-0.006741302515950552,0.002,-0.008741302515950553,0.75567125768143,-0.259733837983951
rejected_htf_1h,35,MOG,2026-03-31 21:00:00,2026-03-31 22:00:00,REJECTED_HTF,AVOID,0.0,34,1.255e-07,1.232e-07,-0.018326693227091743,0.002,-0.02032669322709174,0.7403109598460089,-0.27478100116564774
